Date,Open,High,Low,Close,Adj Close,Volume
2013-09-19,426.750000,427.720001,421.510010,421.700012,421.700012,250100
2013-09-20,420.929993,424.910004,414.959991,415.079987,415.079987,580800
2013-09-23,415.350006,418.549988,412.350006,415.239990,415.239990,208000
2013-09-24,418.420013,423.779999,415.739990,418.760010,418.760010,396200
2013-09-25,418.739990,419.359985,415.000000,415.589996,415.589996,152800
2013-09-26,416.250000,422.000000,415.950012,420.339996,420.339996,180200
2013-09-27,417.989990,420.000000,417.989990,419.000000,419.000000,124100
2013-09-30,422.640015,429.779999,422.000000,428.799988,428.799988,469700
2013-10-01,429.190002,431.000000,422.040009,425.670013,425.670013,309400
2013-10-02,425.670013,427.390015,420.200012,427.140015,427.140015,227700
2013-10-03,426.149994,428.529999,421.010010,426.500000,426.500000,440200
2013-10-04,426.500000,434.359985,425.859985,434.119995,434.119995,335900
2013-10-07,430.000000,434.220001,428.910004,433.399994,433.399994,523700
2013-10-08,432.119995,434.000000,423.390015,427.720001,427.720001,634800
2013-10-09,430.000000,432.750000,423.250000,428.670013,428.670013,443000
2013-10-10,432.070007,436.950012,430.279999,435.869995,435.869995,309800
2013-10-11,439.200012,443.929993,438.079987,443.609985,443.609985,411200
2013-10-14,441.420013,447.649994,440.540009,442.019989,442.019989,543300
2013-10-15,441.429993,443.690002,432.929993,433.609985,433.609985,554300
2013-10-16,436.570007,438.510010,434.119995,438.070007,438.070007,510800
2013-10-17,438.600006,442.470001,438.049988,439.070007,439.070007,898000
2013-10-18,481.049988,511.100006,477.339996,509.739990,509.739990,2438900
2013-10-21,509.589996,512.000000,506.500000,509.250000,509.250000,909800
2013-10-22,509.079987,520.719971,509.079987,520.000000,520.000000,817600
2013-10-23,515.020020,522.500000,514.679993,520.789978,520.789978,586500
2013-10-24,521.130005,524.539978,517.849976,522.969971,522.969971,424100
2013-10-25,522.049988,528.000000,521.099976,527.500000,527.500000,475000
2013-10-28,527.000000,527.919983,522.780029,527.849976,527.849976,418500
2013-10-29,527.989990,529.900024,523.140015,527.929993,527.929993,338200
2013-10-30,528.950012,529.840027,522.849976,524.349976,524.349976,284800
2013-10-31,521.440002,531.429993,521.440002,526.969971,526.969971,323000
2013-11-01,526.780029,529.890015,524.900024,527.599976,527.599976,367400
2013-11-04,529.500000,536.559998,526.580017,535.179993,535.179993,364800
2013-11-05,535.030029,543.679993,533.210022,543.049988,543.049988,412700
2013-11-06,543.210022,546.799988,537.760010,539.630005,539.630005,465700
2013-11-07,540.010010,540.010010,524.669983,525.020020,525.020020,652900
2013-11-08,527.799988,536.799988,525.489990,535.200012,535.200012,428900
2013-11-11,535.710022,537.239990,534.000000,536.440002,536.440002,164400
2013-11-12,535.760010,537.729980,532.000000,535.419983,535.419983,226600
2013-11-13,534.549988,538.380005,533.109985,537.580017,537.580017,216800
2013-11-14,534.299988,544.669983,534.299988,543.919983,543.919983,255300
2013-11-15,545.989990,549.500000,544.880005,546.969971,546.969971,309800
2013-11-18,547.229980,550.280029,535.159973,537.510010,537.510010,274200
2013-11-19,539.000000,541.809998,537.729980,538.159973,538.159973,246000
2013-11-20,536.000000,542.510010,528.460022,531.659973,531.659973,254400
2013-11-21,534.900024,542.000000,531.200012,539.219971,539.219971,382100
2013-11-22,544.000000,544.000000,536.479980,537.479980,537.479980,221100
2013-11-25,537.549988,540.940002,530.880005,532.309998,532.309998,201500
2013-11-26,532.159973,532.770020,525.000000,525.000000,525.000000,392800
2013-11-27,526.210022,527.080017,523.119995,525.000000,525.000000,307800
2013-11-29,525.239990,529.719971,523.190002,523.859985,523.859985,160100
2013-12-02,521.500000,526.599976,520.489990,524.500000,524.500000,238100
2013-12-03,523.330017,524.989990,521.260010,522.640015,522.640015,229300
2013-12-04,520.549988,522.630005,516.010010,518.109985,518.109985,321300
2013-12-05,518.200012,525.000000,517.109985,521.010010,521.010010,249100
2013-12-06,521.000000,526.250000,519.590027,525.809998,525.809998,212100
2013-12-09,525.710022,529.989990,525.010010,527.320007,527.320007,278100
2013-12-10,525.919983,525.919983,520.239990,521.530029,521.530029,229900
2013-12-11,523.309998,523.940002,516.330017,517.570007,517.570007,252200
2013-12-12,516.320007,522.539978,514.619995,515.020020,515.020020,281000
2013-12-13,518.510010,520.989990,511.279999,512.849976,512.849976,349300
2013-12-16,514.700012,517.359985,511.450012,515.380005,515.380005,374200
2013-12-17,515.789978,518.000000,509.350006,512.640015,512.640015,288900
2013-12-18,510.049988,517.000000,506.440002,516.890015,516.890015,327200
2013-12-19,517.000000,521.229980,514.000000,514.580017,514.580017,321400
2013-12-20,517.280029,533.770020,515.859985,533.140015,533.140015,861100
2013-12-23,535.500000,537.000000,527.940002,531.030029,531.030029,349900
2013-12-24,529.989990,534.000000,529.989990,533.109985,533.109985,104700
2013-12-26,532.590027,535.760010,530.440002,535.429993,535.429993,210800
2013-12-27,536.840027,536.840027,529.650024,530.750000,530.750000,238500
2013-12-30,530.330017,534.590027,528.010010,532.039978,532.039978,263100
2013-12-31,533.799988,534.070007,529.510010,532.780029,532.780029,197300
2014-01-02,530.000000,532.960022,521.530029,523.429993,523.429993,456500
2014-01-03,524.000000,534.010010,523.479980,531.309998,531.309998,409100
2014-01-06,534.719971,534.719971,523.080017,527.320007,527.320007,415100
2014-01-07,528.799988,535.700012,526.369995,533.059998,533.059998,308800
2014-01-08,529.500000,536.190002,528.090027,535.849976,535.849976,411300
2014-01-09,536.950012,548.140015,536.150024,541.030029,541.030029,529800
2014-01-10,542.080017,544.869995,536.710022,538.570007,538.570007,379200
2014-01-13,539.710022,544.489990,526.369995,529.799988,529.799988,510300
2014-01-14,531.979980,533.469971,526.419983,530.280029,530.280029,373200
2014-01-15,534.000000,535.289978,529.799988,532.250000,532.250000,243000
2014-01-16,532.869995,534.190002,527.809998,529.510010,529.510010,260300
2014-01-17,535.640015,535.640015,526.080017,527.609985,527.609985,403700
2014-01-21,531.710022,531.760010,523.210022,525.570007,525.570007,386600
2014-01-22,528.530029,529.000000,513.289978,515.950012,515.950012,623300
2014-01-23,512.799988,513.950012,498.559998,503.450012,503.450012,1062200
2014-01-24,495.260010,502.339996,489.500000,492.480011,492.480011,893200
2014-01-27,492.359985,497.000000,482.700012,489.309998,489.309998,563200
2014-01-28,491.950012,498.779999,488.730011,491.869995,491.869995,397900
2014-01-29,490.000000,492.040009,480.869995,484.500000,484.500000,657600
2014-01-30,486.959991,499.429993,485.399994,493.959991,493.959991,1260500
2014-01-31,553.419983,568.900024,546.099976,551.960022,551.960022,2134700
2014-02-03,550.210022,553.780029,535.349976,543.200012,543.200012,1071100
2014-02-04,546.460022,546.739990,536.460022,540.590027,540.590027,556800
2014-02-05,538.809998,544.489990,531.000000,542.429993,542.429993,498300
2014-02-06,542.609985,554.849976,542.049988,544.469971,544.469971,449500
2014-02-07,543.280029,550.549988,540.059998,549.289978,549.289978,494100
2014-02-10,552.479980,552.479980,543.000000,548.090027,548.090027,344200
2014-02-11,548.280029,551.799988,544.020020,544.859985,544.859985,410900
2014-02-12,548.950012,551.760010,539.609985,545.739990,545.739990,485200
2014-02-13,539.609985,561.510010,539.000000,557.650024,557.650024,533000
2014-02-14,552.000000,558.969971,547.000000,554.109985,554.109985,330000
2014-02-18,551.169983,556.390015,550.390015,552.859985,552.859985,303700
2014-02-19,553.820007,560.849976,551.059998,552.179993,552.179993,417500
2014-02-20,551.109985,554.950012,548.510010,550.280029,550.280029,305800
2014-02-21,551.380005,555.200012,548.570007,549.489990,549.489990,408400
2014-02-24,550.950012,556.599976,549.159973,554.380005,554.380005,279500
2014-02-25,557.049988,560.440002,553.349976,554.619995,554.619995,336600
2014-02-26,557.059998,563.479980,550.130005,555.119995,555.119995,550900
2014-02-27,551.640015,562.000000,551.640015,561.140015,561.140015,305800
2014-02-28,562.250000,573.159973,559.489990,565.210022,565.210022,676400
2014-03-03,561.000000,563.950012,551.700012,554.599976,554.599976,527300
2014-03-04,561.479980,585.960022,559.119995,584.830017,584.830017,1003800
2014-03-05,585.000000,585.989990,578.500000,581.250000,581.250000,554800
2014-03-06,584.109985,594.500000,583.700012,593.270020,593.270020,635900
2014-03-07,599.799988,599.969971,587.679993,593.409973,593.409973,308100
2014-03-10,589.820007,593.940002,585.280029,587.960022,587.960022,362000
2014-03-11,589.039978,593.650024,583.000000,584.270020,584.270020,303500
2014-03-12,583.280029,588.750000,577.369995,588.700012,588.700012,244900
2014-03-13,589.469971,591.900024,577.820007,579.500000,579.500000,312200
2014-03-14,575.020020,582.099976,572.000000,575.960022,575.960022,334000
2014-03-17,580.460022,580.900024,572.510010,576.260010,576.260010,261700
2014-03-18,582.349976,595.210022,578.030029,592.539978,592.539978,601200
2014-03-19,588.520020,598.460022,588.520020,596.500000,596.500000,442700
2014-03-20,595.690002,614.200012,595.669983,611.580017,611.580017,806700
2014-03-21,616.469971,622.900024,607.359985,611.119995,611.119995,778400
2014-03-24,610.210022,613.090027,585.580017,588.539978,588.539978,820000
2014-03-25,590.119995,593.099976,565.500000,570.679993,570.679993,979800
2014-03-26,573.450012,575.950012,563.780029,563.880005,563.880005,582700
2014-03-27,564.000000,566.070007,554.250000,559.179993,559.179993,554900
2014-03-28,561.500000,573.989990,560.799988,567.169983,567.169983,538400
2014-03-31,570.739990,570.979980,565.000000,568.049988,568.049988,442000
2014-04-01,568.010010,580.250000,568.010010,578.969971,578.969971,313000
2014-04-02,582.549988,582.559998,572.200012,576.210022,576.210022,297200
2014-04-03,579.020020,582.840027,565.500000,570.890015,570.890015,411000
2014-04-04,571.000000,571.299988,551.039978,555.159973,555.159973,687100
2014-04-07,550.000000,554.989990,529.200012,535.590027,535.590027,804100
2014-04-08,540.000000,552.989990,539.130005,550.729980,550.729980,579300
2014-04-09,552.260010,556.799988,547.059998,556.400024,556.400024,410400
2014-04-10,555.090027,556.140015,533.929993,534.010010,534.010010,600000
2014-04-11,528.020020,543.500000,526.750000,534.869995,534.869995,988000
2014-04-14,540.489990,546.500000,534.109985,540.979980,540.979980,442000
2014-04-15,543.239990,549.650024,532.000000,540.539978,540.539978,487900
2014-04-16,545.000000,553.599976,540.000000,552.400024,552.400024,631500
2014-04-17,582.700012,588.690002,518.520020,519.609985,519.609985,3882500
2014-04-21,521.719971,522.000000,505.700012,506.540009,506.540009,1373600
2014-04-22,508.350006,514.169983,504.130005,512.669983,512.669983,913900
2014-04-23,511.010010,511.950012,502.029999,504.049988,504.049988,482600
2014-04-24,508.600006,511.299988,503.269989,507.600006,507.600006,530700
2014-04-25,507.250000,507.250000,498.489990,502.309998,502.309998,404000
2014-04-28,502.559998,502.559998,472.410004,476.279999,476.279999,1436000
2014-04-29,479.779999,495.000000,477.899994,491.570007,491.570007,747000
2014-04-30,488.549988,499.890015,484.450012,498.500000,498.500000,665500
2014-05-01,498.510010,504.980011,495.010010,500.149994,500.149994,462800
2014-05-02,496.299988,504.359985,496.299988,501.769989,501.769989,471800
2014-05-05,504.390015,518.539978,501.119995,512.679993,512.679993,618500
2014-05-06,512.909973,514.320007,500.820007,501.910004,501.910004,436200
2014-05-07,506.579987,506.579987,493.329987,500.829987,500.829987,571800
2014-05-08,495.010010,513.840027,495.010010,500.350006,500.350006,370500
2014-05-09,499.760010,508.500000,496.170013,507.679993,507.679993,446800
2014-05-12,507.250000,513.179993,505.130005,510.209991,510.209991,430700
2014-05-13,509.950012,510.959991,501.790009,504.160004,504.160004,292500
2014-05-14,506.670013,514.510010,501.000000,504.320007,504.320007,491800
2014-05-15,504.720001,504.720001,491.130005,495.920013,495.920013,505400
2014-05-16,499.309998,501.500000,490.549988,500.519989,500.519989,590300
2014-05-19,498.890015,503.910004,498.890015,501.290009,501.290009,270900
2014-05-20,500.000000,501.209991,493.239990,495.649994,495.649994,315900
2014-05-21,496.119995,504.929993,496.000000,504.179993,504.179993,444900
2014-05-22,506.500000,524.549988,506.190002,520.479980,520.479980,594800
2014-05-23,522.000000,523.450012,515.359985,522.320007,522.320007,311200
2014-05-27,522.000000,539.760010,522.000000,536.039978,536.039978,566100
2014-05-28,533.090027,539.940002,529.080017,538.260010,538.260010,548100
2014-05-29,538.849976,546.900024,538.500000,545.419983,545.419983,617900
2014-05-30,546.969971,549.270020,542.500000,547.090027,547.090027,454100
2014-06-02,548.000000,552.849976,545.270020,551.559998,551.559998,399200
2014-06-03,548.130005,552.500000,548.000000,550.590027,550.590027,357700
2014-06-04,549.460022,559.380005,546.820007,558.840027,558.840027,375800
2014-06-05,557.549988,564.210022,556.489990,561.030029,561.030029,345600
2014-06-06,560.750000,570.219971,559.140015,569.169983,569.169983,394600
2014-06-09,568.250000,570.679993,565.929993,568.500000,568.500000,246800
2014-06-10,566.000000,568.799988,563.169983,564.760010,564.760010,282900
2014-06-11,560.919983,571.510010,560.010010,570.340027,570.340027,325600
2014-06-12,571.750000,583.270020,570.010010,581.849976,581.849976,916200
2014-06-13,576.840027,589.000000,576.840027,588.260010,588.260010,586900
2014-06-16,587.030029,595.479980,584.380005,594.010010,594.010010,451100
2014-06-17,593.140015,596.159973,590.539978,593.520020,593.520020,322300
2014-06-18,591.880005,595.330017,587.200012,594.909973,594.909973,322700
2014-06-19,594.450012,597.450012,591.549988,594.539978,594.539978,359200
2014-06-20,595.000000,595.840027,590.650024,592.429993,592.429993,412100
2014-06-23,592.989990,602.210022,590.750000,599.590027,599.590027,370300
2014-06-24,599.000000,601.609985,595.460022,595.619995,595.619995,365100
2014-06-25,595.700012,600.299988,592.059998,599.500000,599.500000,224700
2014-06-26,596.219971,600.780029,593.299988,600.320007,600.320007,231900
2014-06-27,599.809998,600.679993,595.700012,596.140015,596.140015,314400
2014-06-30,596.409973,597.080017,592.059998,592.510010,592.510010,311100
2014-07-01,596.349976,604.080017,594.530029,603.260010,603.260010,312200
2014-07-02,603.489990,603.489990,597.000000,599.320007,599.320007,240100
2014-07-03,600.250000,604.780029,598.549988,603.599976,603.599976,140600
2014-07-07,601.650024,603.159973,592.830017,593.830017,593.830017,298600
2014-07-08,591.260010,592.750000,575.919983,586.590027,586.590027,520900
2014-07-09,588.549988,605.000000,588.549988,604.169983,604.169983,597000
2014-07-10,596.000000,607.549988,595.049988,600.609985,600.609985,425400
2014-07-11,600.440002,601.500000,597.500000,598.489990,598.489990,224600
2014-07-14,601.700012,608.770020,600.090027,604.919983,604.919983,325500
2014-07-15,605.000000,606.869995,590.340027,597.450012,597.450012,558700
2014-07-16,601.000000,601.320007,590.000000,590.469971,590.469971,387000
2014-07-17,591.020020,592.000000,579.809998,581.650024,581.650024,415400
2014-07-18,583.710022,593.409973,583.020020,592.419983,592.419983,432500
2014-07-21,593.289978,596.900024,582.690002,589.929993,589.929993,1099600
2014-07-22,649.900024,667.900024,649.270020,659.770020,659.770020,2260800
2014-07-23,658.710022,662.690002,655.159973,661.270020,661.270020,554500
2014-07-24,663.130005,663.770020,656.789978,660.200012,660.200012,373800
2014-07-25,657.799988,674.000000,657.799988,673.580017,673.580017,595800
2014-07-28,675.109985,678.960022,671.989990,678.010010,678.010010,470700
2014-07-29,677.419983,680.369995,673.309998,674.359985,674.359985,282400
2014-07-30,678.000000,682.669983,676.000000,681.830017,681.830017,404200
2014-07-31,678.010010,679.500000,672.000000,672.500000,672.500000,462400
